good_id,url,good_infom,shop_name,good_nums,good_price
zt1,images,18夏韩版上衣女简约小清新纯色百搭宽松圆领chic短袖T恤女打底衫,广州德客服饰有限公司,650,18.90
zt2,,18夏款新款韩版性感吊带一字肩双层露肩荷叶边吊带上衣女背心,广州德客服饰有限公司,322,26.00
zt3,,风之信 2018春装新款时尚圆领字母印花T恤上衣805,广州风之信服装有限公司,1715,19.90
zt4,,风之信 2018夏季新款圆领狗仔纯棉T恤 819,广州风之信服装有限公司,501,24.50
zt5,,珂织珂索 纯棉宽松印花T恤 PP02,广州珂织珂索服饰有限公司,752,18.00
zt6,,珂织珂索 纯棉宽松印花T恤 D033,广州珂织珂索服饰有限公司,791,16.40
zt7,,珂织珂索 2018年夏季新款时尚纯棉百搭T恤 DY1001,广州珂织珂索服饰有限公司,1049,12.50
zt8,,短泡泡袖一字领松身女衬衣(18058403),纵歌服装,860,49.10
zt9,,【限量秒杀】九万依 麻棉印花T恤 2959,广州九万依服饰有限公司,459,29.30
zt10,,风之信 2018春夏款新品时尚圆领短袖T恤 801,广州风之信服装有限公司,797,29.80
zt11,,风之信2018春装新款简单时尚圆领印花T恤上衣803,广州风之信服装有限公司,1284,26.60
zt12,,风之信 2018春款新品时尚字母印花圆领短袖T恤 802,广州风之信服装有限公司,486,29.80
zt13,,风之信 2018夏季新款圆领小熊纯棉T恤 817,广州风之信服装有限公司,650,24.50
zt14,,风之信 2018夏季新款圆领字母图案纯棉T恤 818,广州风之信服装有限公司,884,24.50
zt15,,爱易凡  【活动产品】百搭T恤 367#,广州爱易凡贸易有限公司,330,19.90
zt16,,九万依 麻棉印花T恤 3035,广州九万依服饰有限公司,556,21.30
zt17,,九万依 洗水打磨破洞印花牛仔短裤 1818,广州九万依服饰有限公司,399,45.20
zt18,,九万依 圆领印花棉T恤 1796,广州九万依服饰有限公司,518,21.30
zt19,,珂织珂索 2018初秋爆款修身显瘦条纹长袖,广州珂织珂索服饰有限公司,463,13.80
zt20,,依赖 2018最新款时尚修身喇叭牛仔裤 902,广州市增城依赖制衣厂,492,42.60
zt21,,依赖 侧边毛边自由卷边宽松九分裤 168,广州市增城依赖制衣厂,532,37.20
zt22,,8130#实拍2018秋冬圆领宽松灯笼袖毛衣+百搭高腰绑带半身裙子套装,女人志,957,68.00
zt23,,7180实拍#2018秋冬爆款木耳花边毛衣 单毛衣,女人志,744,39.00
zt24,,8180#实拍2018秋冬爆款木耳花边毛衣+短裙配皮带【套装】,女人志,457,62.00
zt25,,2018秋装新款韩版时尚卫衣女中长款宽松连帽套头休闲学生长袖外套906,广州斯诺服饰有限公司,851,37.20
zt26,,秋天金丝绒运动套装女春秋2018新款时尚韩版休闲阔腿裤大码两件套908,广州斯诺服饰有限公司,980,63.80
zt27,,秋装女2018新款套装时尚两件套港味格子精神社会休闲韩版夏季女装907,广州斯诺服饰有限公司,575,51.10
zt28,,2018春秋季休闲运动套装女三件套运动服女装韩版显瘦潮款连帽时尚905,广州斯诺服饰有限公司,397,74.50
zt29,,歌诺瑞丝 2018年秋冬新款女装时尚牛仔少女外套 NR 511-B-1912,广州君璟瑶贸易有限公司,793,73.00
